Column,Missing Values,Missing Percentage,Data Type
Id,0,0,int64
MSSubClass,0,0,int64
MSZoning,0,0,object
LotFrontage,259,17.7397260273973,float64
LotArea,0,0,int64
Street,0,0,object
Alley,1369,93.7671232876712,object
LotShape,0,0,object
LandContour,0,0,object
Utilities,0,0,object
LotConfig,0,0,object
LandSlope,0,0,object
Neighborhood,0,0,object
Condition1,0,0,object
Condition2,0,0,object
BldgType,0,0,object
HouseStyle,0,0,object
OverallQual,0,0,int64
OverallCond,0,0,int64
YearBuilt,0,0,int64
YearRemodAdd,0,0,int64
RoofStyle,0,0,object
RoofMatl,0,0,object
Exterior1st,0,0,object
Exterior2nd,0,0,object
MasVnrType,8,0.547945205479452,object
MasVnrArea,8,0.547945205479452,float64
ExterQual,0,0,object
ExterCond,0,0,object
Foundation,0,0,object
BsmtQual,37,2.53424657534247,object
BsmtCond,37,2.53424657534247,object
BsmtExposure,38,2.6027397260274,object
BsmtFinType1,37,2.53424657534247,object
BsmtFinSF1,0,0,int64
BsmtFinType2,38,2.6027397260274,object
BsmtFinSF2,0,0,int64
BsmtUnfSF,0,0,int64
TotalBsmtSF,0,0,int64
Heating,0,0,object
HeatingQC,0,0,object
CentralAir,0,0,object
Electrical,1,0.0684931506849315,object
1stFlrSF,0,0,int64
2ndFlrSF,0,0,int64
LowQualFinSF,0,0,int64
GrLivArea,0,0,int64
BsmtFullBath,0,0,int64
BsmtHalfBath,0,0,int64
FullBath,0,0,int64
HalfBath,0,0,int64
BedroomAbvGr,0,0,int64
KitchenAbvGr,0,0,int64
KitchenQual,0,0,object
TotRmsAbvGrd,0,0,int64
Functional,0,0,object
Fireplaces,0,0,int64
FireplaceQu,690,47.2602739726027,object
GarageType,81,5.54794520547945,object
GarageYrBlt,81,5.54794520547945,float64
GarageFinish,81,5.54794520547945,object
GarageCars,0,0,int64
GarageArea,0,0,int64
GarageQual,81,5.54794520547945,object
GarageCond,81,5.54794520547945,object
PavedDrive,0,0,object
WoodDeckSF,0,0,int64
OpenPorchSF,0,0,int64
EnclosedPorch,0,0,int64
3SsnPorch,0,0,int64
ScreenPorch,0,0,int64
PoolArea,0,0,int64
PoolQC,1453,99.5205479452055,object
Fence,1179,80.7534246575342,object
MiscFeature,1406,96.3013698630137,object
MiscVal,0,0,int64
MoSold,0,0,int64
YrSold,0,0,int64
SaleType,0,0,object
SaleCondition,0,0,object
SalePrice,0,0,int64
